"","nazwa","modem","wyświetlacz","pamięć_RAM","pamięć_wbudowana","cena","liczba_opinii","ocena","status_opinii"
"1","Tablet Apple iPad (10 gen.) 2022 (srebrny)","Wi-Fi 6","10.9""","1GB","64GB",2719,6,6,"mniej niż 50 opinii"
"2","Tablet Apple iPad 2021","Wi-Fi 6 ","10.2""","1GB","64GB",2399,17,6,"mniej niż 50 opinii"
"3","Tablet Apple iPad (10 gen.) 2022 (różowy)","Wi-Fi 6","10.2""","1GB","64GB",3649,2,6,"mniej niż 50 opinii"
"4","Tablet Apple iPad Wi-Fi (gwiezdna szarość)","Wi-Fi 6","10.2""","1GB","256GB",2749,1,6,"mniej niż 50 opinii"
"5","Tablet Apple iPad Air 2022 Wi-Fi (gwiezdna szarość)","Wi-Fi 802","10.9""","2GB","64GB",3799,11,6,"mniej niż 50 opinii"
"6","Tablet Apple iPad Air 2022 Wi-Fi (księżycowa poświata)","Wi-Fi 802","10.9""","1GB","64GB",2999,13,6,"mniej niż 50 opinii"
"7","Tablet Apple iPad 2021 Wi-Fi 256GB (srebrny)","Wi-Fi 6","10.2""","2GB","16GB",2749,32,6,"mniej niż 50 opinii"
"8","Tablet Apple iPad Pro 2021 (srebrny)","Wi-Fi 6","10.2""","16GB","2TB",12599,0,6,"nie ma"
"9","Tablet Apple iPad Pro (gwiezdna szarość)","Wi-Fi 6","11""","8GB","256GB",7399,6,0,"mniej niż 50 opinii"
"10","iPad10","Wi-Fi 6","9.7""","2GB","128GB",5299,8,6,"mniej niż 50 opinii"
"11","iPad11","k","9.7""","1GB","32GB",3999,560,6,"więcej niż 100 opinii"
"12","Tablet Apple iPad 2021(gwiezdna szarość)","WiFi 6","10.2""","1GB","64GB",2599,3,6,"mniej niż 50 opinii"
"13","Tablet Apple iPad 2022 (10 gen.) (srebrny)","WiFi 6","10.9""","1GB","256GB",3199,23,6,"mniej niż 50 opinii"
"14","Tablet Apple iPad 2022 (10 gen.) (niebieski)","WiFi 6","10.9""","1GB","256GB",3549,1,6,"mniej niż 50 opinii"
"15","Tablet Apple iPad (10 gen.) 2022 (żółty)","WiFi 6","10.9""","1GB","256GB",4899,0,0,"nie ma"
